,REG_SEASON_BENCH_PROP,SERIES_BENCH_PROP,REG_SEASON_PLAYOFF_PROP_CHANGE,TEAM_OPP_BENCH_PTS_DIFF,TEAM_OPP_BENCH_PROP_CHG,WL
112,-1.0633213311740426,0.2697986577181208,4.941166127983392,-43,-0.14195180988007486,0
113,1.5258076507591742,0.3333333333333333,-3.577422952277523,30,0.314516129032258,0
114,1.5258076507591742,0.29678362573099415,-4.141144990735346,33,0.17491400068799454,1
115,0.4694319650184061,0.34416543574593794,-0.3639718468560556,65,0.4647517057044383,0
116,-0.1357328907259803,0.29347826086956524,1.4624972572885255,-7,0.03865784499054828,0
117,0.09222174133345551,0.30602782071097373,0.6986491583699711,41,0.2747910493310626,0
118,0.40555992770991073,0.3785310734463277,-0.0714045851440925,14,0.07598202767026997,0
119,-0.4779955237207073,0.24222585924713586,2.9733463850902173,-17,-0.15147547487973012,1
120,-0.4779955237207073,0.2972972972972973,2.607803125242379,-10,0.047972972972972955,0
121,-0.4779955237207073,0.2708688245315162,2.764675298264498,19,0.10282307130688734,1
122,-0.17460033428688365,0.25,1.6984013371475346,56,0.4763157894736842,1
123,-0.17460033428688365,0.2596685082872928,1.6723970320409776,39,0.2779763839237352,1
124,-0.17460033428688365,0.2606473594548552,1.669871870760789,6,-0.044293015332197615,1
125,-0.17460033428688365,0.1793103448275862,1.9737326335230048,-48,-0.42649151614668857,1
126,-2.1766122141787765,0.28368794326241137,8.672558054980186,10,-0.045776918117343635,1
127,-2.1766122141787765,0.19230769230769232,12.318383513729637,-119,-0.6337456513335911,1
